name,type,confidence,source,extraction_methods,aliases,is_normalized
François de Rugy,PERSON,0.988,GLiNER,GLiNER,,False
Dubai,LOCATION,0.955,GLiNER,GLiNER,,False
Hungary,LOCATION,0.954,GLiNER,GLiNER,,False
Uae,LOCATION,0.953,GLiNER,GLiNER,,False
Emmanuel Macron qui,PERSON,0.952,GLiNER,GLiNER,,False
Le Monde,ORGANIZATION,0.935,GLiNER,GLiNER,,False
Israeli intelligence,ORGANIZATION,0.931,GLiNER,GLiNER,,False
Princess Latifa,PERSON,0.925,GLiNER,GLiNER,,False
David Haigh,PERSON,0.924,GLiNER,GLiNER,,False
remito al caso de Cecilio Pineda,PERSON,0.921,GLiNER,GLiNER,,False
Viktor Orbán,PERSON,0.919,GLiNER,GLiNER,,False
Bahrain,LOCATION,0.914,GLiNER,GLiNER,,False
Región,LOCATION,0.912,GLiNER,GLiNER,,False
Bibi Netanyahu's,PERSON,0.911,GLiNER,GLiNER,,False
Jumeirah,LOCATION,0.904,GLiNER,GLiNER,,False
Burj Al Arab,LOCATION,0.902,GLiNER,GLiNER,,False
The Washington Post,ORGANIZATION,0.901,GLiNER,GLiNER,,False
Guerrero,LOCATION,0.899,GLiNER,GLiNER,,False
Detained International,ORGANIZATION,0.898,GLiNER,GLiNER,,False
Money,MONEY,0.896,GLiNER,GLiNER,,False
London,LOCATION,0.895,GLiNER,GLiNER,,False
The Guardian,ORGANIZATION,0.892,GLiNER,GLiNER,,False
Pegasus,WEAPON,0.887,GLiNER,GLiNER,,False
the State of Israel,LOCATION,0.883,GLiNER,GLiNER,,False
Sheikh Mohammed bin Rashid Al Maktoum,PERSON,0.876,GLiNER,GLiNER,,False
United Arab Emirates,LOCATION,0.874,GLiNER,GLiNER,,False
July 2017,DATE,0.869,GLiNER,GLiNER,,False
Villa 96,LOCATION,0.867,GLiNER,GLiNER,,False
Pegasus,PRODUCT,0.866,GLiNER,GLiNER,,False
Saudi Arabia,LOCATION,0.865,GLiNER,GLiNER,,False
El Crimen Organizado,ORGANIZATION,0.865,GLiNER,GLiNER,,False
8200,MILITARY_UNIT,0.861,GLiNER,GLiNER,,False
Forbidden Stories,ORGANIZATION,0.857,GLiNER,GLiNER,,False
Cecilio,PERSON,0.856,GLiNER,GLiNER,,False
State Visit,EVENT,0.855,GLiNER,GLiNER,,False
3rd of August 2020,DATE,0.853,GLiNER,GLiNER,,False
Ancien Ministre,PERSON,0.852,GLiNER,GLiNER,,False
Morocco,LOCATION,0.852,GLiNER,GLiNER,,False
14,CARDINAL,0.85,Unknown,Unknown,,False
17,CARDINAL,0.85,Unknown,Unknown,,False
18-Year-Old,DATE,0.85,Unknown,Unknown,,False
8200,CARDINAL,0.85,Unknown,Unknown,,False
Actif Aujourd'Hui Et,PERSON,0.85,Unknown,Unknown,,False
Afirmar Categóricamente Que,PERSON,0.85,Unknown,Unknown,,False
Aussi Bien,PERSON,0.85,Unknown,Unknown,,False
Bah,PERSON,0.85,Unknown,Unknown,,False
Bien,LOCATION,0.85,Unknown,Unknown,,False
Bien Eu,PERSON,0.85,Unknown,Unknown,,False
Bien Été Ciblé Par Le Client,ORGANIZATION,0.85,Unknown,Unknown,,False
British,GROUP,0.85,Unknown,Unknown,,False
Buenas,PERSON,0.85,Unknown,Unknown,,False
C'Est De Lui Écrire,ORGANIZATION,0.85,Unknown,Unknown,,False
Cometido El Asesinato,PERSON,0.85,Unknown,Unknown,,False
Cuando,LOCATION,0.85,Unknown,Unknown,,False
Dans,GROUP,0.85,Unknown,Unknown,,False
De acuerdo,PERSON,0.85,Unknown,Unknown,,False
De acuerdo,ORGANIZATION,0.85,Unknown,Unknown,,False
de Guerrero,PERSON,0.85,Unknown,Unknown,,False
De Violencia,PERSON,0.85,Unknown,Unknown,,False
Del Del Narcotráfico,FACILITY,0.85,Unknown,Unknown,,False
Después de eso,PERSON,0.85,Unknown,Unknown,,False
Discuter De Ce,PERSON,0.85,Unknown,Unknown,,False
Donc,PERSON,0.85,Unknown,Unknown,,False
Días,LOCATION,0.85,Unknown,Unknown,,False
Eight days,DATE,0.85,Unknown,Unknown,,False
El Gobierno,ORGANIZATION,0.85,Unknown,Unknown,,False
el grupo del Tequilero,ORGANIZATION,0.85,Unknown,Unknown,,False
El Periodista,PERSON,0.85,Unknown,Unknown,,False
El Que,LOCATION,0.85,Unknown,Unknown,,False
El Que Fue Asesinado,ORGANIZATION,0.85,Unknown,Unknown,,False
El Reporte De La,ORGANIZATION,0.85,Unknown,Unknown,,False
El Tema Que,ORGANIZATION,0.85,Unknown,Unknown,,False
Entregaran Su Camioneta,PERSON,0.85,Unknown,Unknown,,False
